"workerid","category","trial_type","evidenceStatement","characterGender","freqLevel","extraStatement","characterName","habitual","n_instances","time_period","rt","response","condition"
29,"hobby","truthJudge","climbed mountains","male",NA,"Yesterday, William turned 80 and gave up all strenuous physical exercise because his doctor said it would be deadly.","William","climbs mountains",3,"5 years",8213,"disagree-key","preventative"
29,"hobby","truthJudge","played tennis","female",NA,"Yesterday, Jessica developed crippling arthritis in both elbows and can only move her arms extremely slowly.","Jessica","plays tennis",3,"year",3818,"disagree-key","preventative"
30,"clothing","truthJudge","wore a suit","male",NA,"Yesterday, Jack got fired from his job on Wall Street and now works in a pizza parlor.","Jack","wears a suit",3,"month",10880,"disagree-key","preventative"
30,"entertainment","truthJudge","watched space launches","female",NA,"","Natalie","watches space launches",3,"2 years",7010,"agree-key","baseline"
30,"employment","truthJudge","volunteered for a political campaign","female",NA,"Yesterday, Kathleen researched a new political candidate in the area and is going to volunteer with them.","Kathleen","volunteers for political campaigns",3,"5 years",35919,"agree-key","enabling"
30,"employment","truthJudge","wrote a novel","male",NA,"","Vince","writes novels",3,"5 years",3007,"agree-key","baseline"
30,"hobby","truthJudge","played the banjo","female",NA,"Yesterday, Elizabeth remembered how much fun that was and joined her friend&quotechars band as the banjoist.","Elizabeth","plays the banjo",3,"year",4971,"agree-key","enabling"
30,"food","truthJudge","drank coffee","male",NA,"Yesterday, Tim wanted a morning jolt and bought a pound of fresh roasted coffee.","Tim","drinks coffee",3,"month",5340,"agree-key","enabling"
30,"employment","truthJudge","stole a car","male",NA,"Yesterday, Derrick learned a new technique for breaking into cars.","Derrick","steals cars",3,"5 years",7847,"disagree-key","enabling"
30,"hobby","truthJudge","hiked","male",NA,"","Alexander","hikes",3,"year",2404,"agree-key","baseline"
30,"hobby","truthJudge","climbed mountains","male",NA,"Yesterday, David turned 80 and gave up all strenuous physical exercise because his doctor said it would be deadly.","David","climbs mountains",3,"5 years",2060,"agree-key","preventative"
30,"hobby","truthJudge","ran","female",NA,"","Julia","runs",3,"2 months",2958,"agree-key","baseline"
30,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Yesterday, Greg researched a new soup kitchen in the area and is going to volunteer with them.","Greg","volunteers for soup kitchens",3,"5 years",8171,"agree-key","enabling"
30,"hobby","truthJudge","played tennis","female",NA,"","Veronica","plays tennis",3,"year",3537,"agree-key","baseline"
30,"food","truthJudge","smoked marijuana","male",NA,"Yesterday, Christopher realized he is severely allergic to marijuana and will no longer smoke it.","Christopher","smokes marijuana",3,"year",2345,"agree-key","preventative"
30,"food","truthJudge","ate caviar","female",NA,"Yesterday, Tina learned about the dietary benefits of eating caviar and bought a jar at the supermaket.","Tina","eats caviar",3,"5 years",1828,"agree-key","enabling"
30,"employment","truthJudge","stole chewing gum","male",NA,"Yesterday, Lewis learned a new trick to distract shopkeepers.","Lewis","steals chewing gum",3,"5 years",4818,"agree-key","enabling"
30,"employment","truthJudge","wrote a poem","male",NA,"","Martin","writes poems",3,"year",3107,"agree-key","baseline"
30,"food","truthJudge","smoked cigarettes","male",NA,"Yesterday, Cameron quit smoking cigarettes.","Cameron","smokes cigarettes",3,"month",10949,"disagree-key","preventative"
30,"food","truthJudge","did cocaine","female",NA,"Yesterday, Sophia realized she is severely allergic to cocaine and will no longer do it.","Sophia","does cocaine",3,"year",6450,"disagree-key","preventative"
30,"entertainment","truthJudge","watched professional football","male",NA,"Yesterday, Michael learned about all the corruption in professional sports and no longer can watch it.","Michael","watches professional football",3,"year",3586,"agree-key","preventative"
30,"food","truthJudge","drank beer","male",NA,"Yesterday, Lee gave up alcohol and entered into Alcoholics Anonymous.","Lee","drinks beer",3,"month",4732,"disagree-key","preventative"
30,"food","truthJudge","ate peanut butter","female",NA,"","Laura","eats peanut butter",3,"year",5313,"agree-key","baseline"
31,"food","truthJudge","drank beer","female",NA,"Yesterday, Janet wanted to get tipsy and bought a six-pack of beer.","Janet","drinks beer",3,"month",8382,"agree-key","enabling"
31,"entertainment","truthJudge","watched space launches","female",NA,"","Melinda","watches space launches",3,"2 years",4578,"agree-key","baseline"
31,"hobby","truthJudge","played tennis","male",NA,"Yesterday, John remembered how much fun that was and bought a new tennis racket.","John","plays tennis",3,"year",7082,"agree-key","enabling"
31,"food","truthJudge","ate peanut butter","female",NA,"","Angela","eats peanut butter",3,"year",3320,"agree-key","baseline"
31,"entertainment","truthJudge","watched professional football","male",NA,"Yesterday, Stephen remembered how much enjoyable that was and upgraded his cable to have access to all professional football games.","Stephen","watches professional football",3,"year",3840,"agree-key","enabling"
31,"clothing","truthJudge","wore a suit","male",NA,"Yesterday, Christopher got a high paying job on Wall Street.","Christopher","wears a suit",3,"month",4376,"agree-key","enabling"
31,"food","truthJudge","drank coffee","female",NA,"Yesterday, Ashley wanted a morning jolt and bought a pound of fresh roasted coffee.","Ashley","drinks coffee",3,"month",4344,"agree-key","enabling"
31,"employment","truthJudge","stole a car","male",NA,"","Brian","steals cars",3,"5 years",2685,"agree-key","baseline"
31,"food","truthJudge","ate caviar","male",NA,"","Ronald","eats caviar",3,"5 years",1635,"agree-key","baseline"
31,"employment","truthJudge","wrote a novel","female",NA,"Yesterday, Theresa became fed up with the literary world and decided to never write anything again.","Theresa","writes novels",3,"5 years",7202,"disagree-key","preventative"
31,"hobby","truthJudge","ran","male",NA,"Yesterday, Lewis was in a car accident and became permanently paralyzed from the waist down.","Lewis","runs",3,"2 months",4426,"disagree-key","preventative"
31,"food","truthJudge","smoked cigarettes","female",NA,"Yesterday, Kristina quit smoking cigarettes.","Kristina","smokes cigarettes",3,"month",3297,"disagree-key","preventative"
31,"food","truthJudge","did cocaine","female",NA,"Yesterday, Elisa wanted to get high and bought some cocaine.","Elisa","does cocaine",3,"year",4876,"agree-key","enabling"
31,"employment","truthJudge","wrote a poem","female",NA,"Yesterday, Brooke became fed up with the poetry world and decided to never write poems again.","Brooke","writes poems",3,"year",5838,"disagree-key","preventative"
31,"employment","truthJudge","stole chewing gum","female",NA,"Yesterday, Crystal learned a new trick to distract shopkeepers.","Crystal","steals chewing gum",3,"5 years",3846,"agree-key","enabling"
31,"food","truthJudge","smoked marijuana","male",NA,"Yesterday, Vince realized he is severely allergic to marijuana and will no longer smoke it.","Vince","smokes marijuana",3,"year",3945,"disagree-key","preventative"
31,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Yesterday, Jackie grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","Jackie","volunteers for soup kitchens",3,"5 years",6601,"disagree-key","preventative"
31,"hobby","truthJudge","hiked","male",NA,"","Ben","hikes",3,"year",2294,"agree-key","baseline"
31,"employment","truthJudge","volunteered for a political campaign","male",NA,"Yesterday, William grew disillusioned with the political system and wants nothing to do with it anymore.","William","volunteers for political campaigns",3,"5 years",4658,"disagree-key","preventative"
31,"hobby","truthJudge","played the banjo","male",NA,"","Lee","plays the banjo",3,"year",2393,"agree-key","baseline"
31,"hobby","truthJudge","climbed mountains","male",NA,"","Kyle","climbs mountains",3,"5 years",2314,"agree-key","baseline"
32,"food","truthJudge","smoked cigarettes","male",NA,"Yesterday, Doug wanted a smoke and bought a pack of cigarettes.","Doug","smokes cigarettes",3,"month",10840,"agree-key","enabling"
32,"food","truthJudge","drank coffee","female",NA,"Yesterday, Hillary wanted a morning jolt and bought a pound of fresh roasted coffee.","Hillary","drinks coffee",3,"month",16213,"agree-key","enabling"
32,"employment","truthJudge","stole a car","male",NA,"Yesterday, Gabriel learned a new technique for breaking into cars.","Gabriel","steals cars",3,"5 years",1754,"agree-key","enabling"
32,"hobby","truthJudge","played the banjo","male",NA,"Yesterday, Daniel remembered how much fun that was and joined his friend&quotechars band as the banjoist.","Daniel","plays the banjo",3,"year",1625,"disagree-key","enabling"
32,"hobby","truthJudge","hiked","female",NA,"Yesterday, Brooke was in a motorcycle accident and will never walk again.","Brooke","hikes",3,"year",8638,"agree-key","preventative"
32,"food","truthJudge","ate caviar","female",NA,"Yesterday, Kelly learned about the dietary benefits of eating caviar and bought a jar at the supermaket.","Kelly","eats caviar",3,"5 years",2071,"disagree-key","enabling"
32,"employment","truthJudge","stole chewing gum","female",NA,"","Shannon","steals chewing gum",3,"5 years",2886,"disagree-key","baseline"
32,"food","truthJudge","smoked marijuana","female",NA,"Yesterday, Angela wanted to get high and bought some marijuana.","Angela","smokes marijuana",3,"year",1851,"disagree-key","enabling"
32,"employment","truthJudge","volunteered for a political campaign","male",NA,"Yesterday, Fred grew disillusioned with the political system and wants nothing to do with it anymore.","Fred","volunteers for political campaigns",3,"5 years",4024,"agree-key","preventative"
32,"hobby","truthJudge","ran","female",NA,"Yesterday, Claire remembered how much fun those times were and bought a new pair of running shoes.","Claire","runs",3,"2 months",2034,"disagree-key","enabling"
32,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Yesterday, Ronald grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","Ronald","volunteers for soup kitchens",3,"5 years",2517,"agree-key","preventative"
32,"hobby","truthJudge","played tennis","female",NA,"Yesterday, Linda developed crippling arthritis in both elbows and can only move her arms extremely slowly.","Linda","plays tennis",3,"year",1730,"disagree-key","preventative"
32,"clothing","truthJudge","wore a suit","female",NA,"","Michelle","wears a suit",3,"month",1855,"agree-key","baseline"
32,"food","truthJudge","drank beer","female",NA,"","Rebecca","drinks beer",3,"month",1237,"agree-key","baseline"
32,"food","truthJudge","ate peanut butter","male",NA,"Yesterday, David developed a peanut allergy.","David","eats peanut butter",3,"year",1384,"agree-key","preventative"
32,"entertainment","truthJudge","watched professional football","female",NA,"","Kim","watches professional football",3,"year",1508,"agree-key","baseline"
32,"entertainment","truthJudge","watched space launches","male",NA,"","Derrick","watches space launches",3,"2 years",2091,"agree-key","baseline"
32,"employment","truthJudge","wrote a novel","male",NA,"Yesterday, John became fed up with the literary world and decided to never write anything again.","John","writes novels",3,"5 years",4276,"agree-key","preventative"
32,"food","truthJudge","did cocaine","male",NA,"","Jacob","does cocaine",3,"year",1484,"agree-key","baseline"
32,"hobby","truthJudge","climbed mountains","female",NA,"","Jessica","climbs mountains",3,"5 years",5103,"agree-key","baseline"
32,"employment","truthJudge","wrote a poem","female",NA,"Yesterday, Kathleen became fed up with the poetry world and decided to never write poems again.","Kathleen","writes poems",3,"year",6215,"agree-key","preventative"
33,"employment","truthJudge","volunteered for a political campaign","male",NA,"Yesterday, Kyle researched a new political candidate in the area and is going to volunteer with them.","Kyle","volunteers for political campaigns",3,"5 years",14104,"agree-key","enabling"
33,"food","truthJudge","drank beer","male",NA,"","John","drinks beer",3,"month",23,"agree-key","baseline"
33,"food","truthJudge","smoked cigarettes","female",NA,"","Amber","smokes cigarettes",3,"month",4569,"agree-key","baseline"
33,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Yesterday, Tom grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","Tom","volunteers for soup kitchens",3,"5 years",66801,"disagree-key","preventative"
33,"hobby","truthJudge","ran","female",NA,"Yesterday, Claire was in a car accident and became permanently paralyzed from the waist down.","Claire","runs",3,"2 months",14363,"disagree-key","preventative"
33,"food","truthJudge","smoked marijuana","male",NA,"Yesterday, Greg realized he is severely allergic to marijuana and will no longer smoke it.","Greg","smokes marijuana",3,"year",1306,"disagree-key","preventative"
33,"hobby","truthJudge","climbed mountains","female",NA,"Yesterday, Kelly turned 80 and gave up all strenuous physical exercise because her doctor said it would be deadly.","Kelly","climbs mountains",3,"5 years",681,"disagree-key","preventative"
33,"food","truthJudge","ate caviar","male",NA,"Yesterday, Gabriel developed a seafood allergy.","Gabriel","eats caviar",3,"5 years",2863,"disagree-key","preventative"
33,"hobby","truthJudge","played tennis","male",NA,"Yesterday, Seth remembered how much fun that was and bought a new tennis racket.","Seth","plays tennis",3,"year",21029,"agree-key","enabling"
33,"employment","truthJudge","stole a car","female",NA,"Yesterday, Julia learned a new technique for breaking into cars.","Julia","steals cars",3,"5 years",9382,"agree-key","enabling"
33,"entertainment","truthJudge","watched space launches","male",NA,"","Stephen","watches space launches",3,"2 years",5782,"agree-key","baseline"
33,"employment","truthJudge","wrote a novel","male",NA,"Yesterday, Ted finished an MFA program and quit his other job to focus on writing novels.","Ted","writes novels",3,"5 years",3286,"agree-key","enabling"
33,"entertainment","truthJudge","watched professional football","female",NA,"Yesterday, Tina remembered how much enjoyable that was and upgraded her cable to have access to all professional football games.","Tina","watches professional football",3,"year",6958,"agree-key","enabling"
33,"hobby","truthJudge","hiked","male",NA,"Yesterday, Fred was in a motorcycle accident and will never walk again.","Fred","hikes",3,"year",4747,"disagree-key","preventative"
33,"hobby","truthJudge","played the banjo","male",NA,"","Lee","plays the banjo",3,"year",6255,"agree-key","baseline"
33,"food","truthJudge","drank coffee","female",NA,"Yesterday, Ashley developed a caffeine allergy and decided to give up all caffeine.","Ashley","drinks coffee",3,"month",10504,"disagree-key","preventative"
33,"employment","truthJudge","wrote a poem","female",NA,"Yesterday, Rebecca finished an MFA program and quit her other job to focus on writing poems.","Rebecca","writes poems",3,"year",21050,"agree-key","enabling"
33,"employment","truthJudge","stole chewing gum","female",NA,"","Michelle","steals chewing gum",3,"5 years",1563,"agree-key","baseline"
33,"food","truthJudge","ate peanut butter","male",NA,"Yesterday, Cameron learned about the dietary benefits of eating peanut butter and bought a jar at the supermaket.","Cameron","eats peanut butter",3,"year",7497,"agree-key","enabling"
33,"food","truthJudge","did cocaine","female",NA,"","Esther","does cocaine",3,"year",4319,"agree-key","baseline"
33,"clothing","truthJudge","wore a suit","female",NA,"","Laura","wears a suit",3,"month",2874,"agree-key","baseline"
34,"hobby","truthJudge","climbed mountains","male",NA,"Yesterday, Seth remembered how much fun that was bought a lot of new mountain climbing gear.","Seth","climbs mountains",3,"5 years",18737,"agree-key","enabling"
34,"food","truthJudge","smoked marijuana","male",NA,"Yesterday, Christopher wanted to get high and bought some marijuana.","Christopher","smokes marijuana",3,"year",6602,"agree-key","enabling"
34,"food","truthJudge","ate caviar","female",NA,"","Maya","eats caviar",3,"5 years",5048,"agree-key","baseline"
34,"hobby","truthJudge","played the banjo","female",NA,"","Natalie","plays the banjo",3,"year",4039,"disagree-key","baseline"
34,"entertainment","truthJudge","watched professional football","male",NA,"Yesterday, Lee remembered how much enjoyable that was and upgraded his cable to have access to all professional football games.","Lee","watches professional football",3,"year",5913,"agree-key","enabling"
34,"hobby","truthJudge","played tennis","male",NA,"Yesterday, Vince remembered how much fun that was and bought a new tennis racket.","Vince","plays tennis",3,"year",7583,"disagree-key","enabling"
34,"employment","truthJudge","stole chewing gum","female",NA,"Yesterday, Bridgette got caught and vowed to never break the law again.","Bridgette","steals chewing gum",3,"5 years",6796,"disagree-key","preventative"
34,"food","truthJudge","drank coffee","female",NA,"Yesterday, Crystal developed a caffeine allergy and decided to give up all caffeine.","Crystal","drinks coffee",3,"month",4604,"disagree-key","preventative"
34,"food","truthJudge","drank beer","female",NA,"Yesterday, Claire gave up alcohol and entered into Alcoholics Anonymous.","Claire","drinks beer",3,"month",3763,"disagree-key","preventative"
34,"employment","truthJudge","wrote a poem","male",NA,"","Cameron","writes poems",3,"year",4083,"agree-key","baseline"
34,"employment","truthJudge","wrote a novel","male",NA,"Yesterday, Tom became fed up with the literary world and decided to never write anything again.","Tom","writes novels",3,"5 years",7045,"disagree-key","preventative"
34,"food","truthJudge","smoked cigarettes","male",NA,"Yesterday, Greg quit smoking cigarettes.","Greg","smokes cigarettes",3,"month",3547,"disagree-key","preventative"
34,"food","truthJudge","did cocaine","female",NA,"","Brooke","does cocaine",3,"year",2642,"agree-key","baseline"
34,"employment","truthJudge","stole a car","female",NA,"Yesterday, Shannon learned a new technique for breaking into cars.","Shannon","steals cars",3,"5 years",3312,"agree-key","enabling"
34,"hobby","truthJudge","ran","female",NA,"Yesterday, Tina was in a car accident and became permanently paralyzed from the waist down.","Tina","runs",3,"2 months",5574,"disagree-key","preventative"
34,"food","truthJudge","ate peanut butter","male",NA,"","Scott","eats peanut butter",3,"year",16863,"agree-key","baseline"
34,"clothing","truthJudge","wore a suit","female",NA,"Yesterday, Esther got a high paying job on Wall Street.","Esther","wears a suit",3,"month",5792,"agree-key","enabling"
34,"entertainment","truthJudge","watched space launches","female",NA,"","Stephanie","watches space launches",3,"2 years",3150,"agree-key","baseline"
34,"employment","truthJudge","volunteered for a political campaign","male",NA,"Yesterday, Kyle researched a new political candidate in the area and is going to volunteer with them.","Kyle","volunteers for political campaigns",3,"5 years",6201,"agree-key","enabling"
34,"hobby","truthJudge","hiked","male",NA,"","Daniel","hikes",3,"year",1992,"agree-key","baseline"
34,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Yesterday, Lucas grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","Lucas","volunteers for soup kitchens",3,"5 years",5763,"disagree-key","preventative"
35,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Yesterday, Linda grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","Linda","volunteers for soup kitchens",3,"5 years",14928,"disagree-key","preventative"
35,"clothing","truthJudge","wore a suit","male",NA,"Yesterday, Lucas got a high paying job on Wall Street.","Lucas","wears a suit",3,"month",5788,"agree-key","enabling"
35,"employment","truthJudge","wrote a novel","female",NA,"Yesterday, Natalie became fed up with the literary world and decided to never write anything again.","Natalie","writes novels",3,"5 years",14001,"disagree-key","preventative"
35,"hobby","truthJudge","hiked","female",NA,"Yesterday, Melinda remembered how much fun those times were and bought a lot of new hiking gear.","Melinda","hikes",3,"year",11183,"agree-key","enabling"
35,"food","truthJudge","drank beer","male",NA,"","Scott","drinks beer",3,"month",6013,"agree-key","baseline"
35,"entertainment","truthJudge","watched professional football","male",NA,"Yesterday, Gabriel learned about all the corruption in professional sports and no longer can watch it.","Gabriel","watches professional football",3,"year",29424,"disagree-key","preventative"
35,"employment","truthJudge","volunteered for a political campaign","female",NA,"","Kathleen","volunteers for political campaigns",3,"5 years",7358,"agree-key","baseline"
35,"employment","truthJudge","stole chewing gum","female",NA,"","Maya","steals chewing gum",3,"5 years",4631,"agree-key","baseline"
35,"food","truthJudge","drank coffee","female",NA,"Yesterday, Crystal developed a caffeine allergy and decided to give up all caffeine.","Crystal","drinks coffee",3,"month",7773,"disagree-key","preventative"
35,"employment","truthJudge","wrote a poem","female",NA,"Yesterday, Nicole finished an MFA program and quit her other job to focus on writing poems.","Nicole","writes poems",3,"year",5597,"agree-key","enabling"
35,"entertainment","truthJudge","watched space launches","male",NA,"Yesterday, Daniel remembered how much enjoyable that was and researched all of the space launches in the next year within driving distance.","Daniel","watches space launches",3,"2 years",9262,"agree-key","enabling"
35,"food","truthJudge","ate peanut butter","male",NA,"","Ted","eats peanut butter",3,"year",6717,"agree-key","baseline"
35,"employment","truthJudge","stole a car","female",NA,"Yesterday, Rebecca got caught and went through a radical transformation, vowing to never break the law again.","Rebecca","steals cars",3,"5 years",11554,"disagree-key","preventative"
35,"hobby","truthJudge","played the banjo","male",NA,"Yesterday, Greg developed crippling arthritis in his hands and no longer can play musical instruments.","Greg","plays the banjo",3,"year",7192,"disagree-key","preventative"
35,"food","truthJudge","smoked marijuana","female",NA,"","Esther","smokes marijuana",3,"year",3638,"agree-key","baseline"
35,"food","truthJudge","smoked cigarettes","male",NA,"","Josh","smokes cigarettes",3,"month",3165,"agree-key","baseline"
35,"hobby","truthJudge","ran","female",NA,"Yesterday, Elizabeth remembered how much fun those times were and bought a new pair of running shoes.","Elizabeth","runs",3,"2 months",75683,"agree-key","enabling"
35,"hobby","truthJudge","played tennis","female",NA,"","Michelle","plays tennis",3,"year",2917,"agree-key","baseline"
35,"hobby","truthJudge","climbed mountains","female",NA,"Yesterday, Veronica turned 80 and gave up all strenuous physical exercise because her doctor said it would be deadly.","Veronica","climbs mountains",3,"5 years",6286,"disagree-key","preventative"
35,"food","truthJudge","ate caviar","male",NA,"Yesterday, Kyle learned about the dietary benefits of eating caviar and bought a jar at the supermaket.","Kyle","eats caviar",3,"5 years",6038,"agree-key","enabling"
35,"food","truthJudge","did cocaine","female",NA,"Yesterday, Brooke wanted to get high and bought some cocaine.","Brooke","does cocaine",3,"year",4901,"agree-key","enabling"
36,"employment","truthJudge","wrote a novel","female",NA,"Yesterday, Melinda finished an MFA program and quit her other job to focus on writing novels.","Melinda","writes novels",3,"5 years",7466,"agree-key","enabling"
36,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"","Anthony","volunteers for soup kitchens",3,"5 years",4483,"agree-key","baseline"
36,"hobby","truthJudge","hiked","male",NA,"Yesterday, Lewis was in a motorcycle accident and will never walk again.","Lewis","hikes",3,"year",10045,"agree-key","preventative"
36,"food","truthJudge","ate caviar","female",NA,"Yesterday, Alicia learned about the dietary benefits of eating caviar and bought a jar at the supermaket.","Alicia","eats caviar",3,"5 years",10600,"agree-key","enabling"
36,"food","truthJudge","ate peanut butter","female",NA,"Yesterday, Monica developed a peanut allergy.","Monica","eats peanut butter",3,"year",3952,"agree-key","preventative"
36,"food","truthJudge","drank beer","male",NA,"Yesterday, Christopher wanted to get tipsy and bought a six-pack of beer.","Christopher","drinks beer",3,"month",3986,"agree-key","enabling"
36,"entertainment","truthJudge","watched space launches","female",NA,"Yesterday, Michelle went through a radical transformation and now it is against her belief to witness anything relating to space travel.","Michelle","watches space launches",3,"2 years",6425,"agree-key","preventative"
36,"entertainment","truthJudge","watched professional football","male",NA,"","Seth","watches professional football",3,"year",3506,"agree-key","baseline"
36,"food","truthJudge","drank coffee","female",NA,"Yesterday, Kelly wanted a morning jolt and bought a pound of fresh roasted coffee.","Kelly","drinks coffee",3,"month",7560,"agree-key","enabling"
36,"hobby","truthJudge","played tennis","male",NA,"Yesterday, Brian developed crippling arthritis in both elbows and can only move his arms extremely slowly.","Brian","plays tennis",3,"year",5864,"agree-key","preventative"
36,"employment","truthJudge","stole chewing gum","male",NA,"Yesterday, Tim learned a new trick to distract shopkeepers.","Tim","steals chewing gum",3,"5 years",8193,"agree-key","enabling"
36,"hobby","truthJudge","ran","male",NA,"","Robert","runs",3,"2 months",3897,"agree-key","baseline"
36,"clothing","truthJudge","wore a suit","male",NA,"Yesterday, Cameron got fired from his job on Wall Street and now works in a pizza parlor.","Cameron","wears a suit",3,"month",6866,"disagree-key","preventative"
36,"food","truthJudge","smoked marijuana","male",NA,"","George","smokes marijuana",3,"year",4308,"disagree-key","baseline"
36,"hobby","truthJudge","played the banjo","male",NA,"","Greg","plays the banjo",3,"year",2669,"agree-key","baseline"
36,"employment","truthJudge","volunteered for a political campaign","female",NA,"","Sophia","volunteers for political campaigns",3,"5 years",5173,"agree-key","baseline"
36,"food","truthJudge","smoked cigarettes","male",NA,"Yesterday, Lucas wanted a smoke and bought a pack of cigarettes.","Lucas","smokes cigarettes",3,"month",4865,"agree-key","enabling"
36,"employment","truthJudge","stole a car","female",NA,"Yesterday, Esther got caught and went through a radical transformation, vowing to never break the law again.","Esther","steals cars",3,"5 years",6048,"agree-key","preventative"
36,"employment","truthJudge","wrote a poem","female",NA,"Yesterday, Hillary finished an MFA program and quit her other job to focus on writing poems.","Hillary","writes poems",3,"year",4224,"agree-key","enabling"
36,"hobby","truthJudge","climbed mountains","male",NA,"","Alexander","climbs mountains",3,"5 years",5009,"agree-key","baseline"
36,"food","truthJudge","did cocaine","female",NA,"Yesterday, Linda realized she is severely allergic to cocaine and will no longer do it.","Linda","does cocaine",3,"year",5105,"agree-key","preventative"
37,"food","truthJudge","drank coffee","female",NA,"Yesterday, Jackie wanted a morning jolt and bought a pound of fresh roasted coffee.","Jackie","drinks coffee",3,"month",6336,"agree-key","enabling"
37,"hobby","truthJudge","climbed mountains","male",NA,"","George","climbs mountains",3,"5 years",3450,"agree-key","baseline"
37,"employment","truthJudge","volunteered for a political campaign","female",NA,"","Stephanie","volunteers for political campaigns",3,"5 years",3848,"agree-key","baseline"
37,"clothing","truthJudge","wore a suit","female",NA,"Yesterday, Linda got fired from her job on Wall Street and now works in a pizza parlor.","Linda","wears a suit",3,"month",9917,"disagree-key","preventative"
37,"food","truthJudge","smoked marijuana","female",NA,"Yesterday, Jennifer wanted to get high and bought some marijuana.","Jennifer","smokes marijuana",3,"year",4256,"agree-key","enabling"
37,"employment","truthJudge","stole a car","female",NA,"Yesterday, Sophia got caught and went through a radical transformation, vowing to never break the law again.","Sophia","steals cars",3,"5 years",10333,"agree-key","preventative"
37,"entertainment","truthJudge","watched space launches","male",NA,"","Jack","watches space launches",3,"2 years",3444,"agree-key","baseline"
37,"hobby","truthJudge","played the banjo","female",NA,"","Natalie","plays the banjo",3,"year",3399,"agree-key","baseline"
37,"employment","truthJudge","wrote a novel","male",NA,"Yesterday, Cameron became fed up with the literary world and decided to never write anything again.","Cameron","writes novels",3,"5 years",5347,"disagree-key","preventative"
37,"food","truthJudge","did cocaine","female",NA,"","Angela","does cocaine",3,"year",2295,"agree-key","baseline"
37,"hobby","truthJudge","hiked","male",NA,"Yesterday, Josh remembered how much fun those times were and bought a lot of new hiking gear.","Josh","hikes",3,"year",11907,"agree-key","enabling"
37,"food","truthJudge","ate peanut butter","female",NA,"Yesterday, Brooke developed a peanut allergy.","Brooke","eats peanut butter",3,"year",5507,"disagree-key","preventative"
37,"food","truthJudge","ate caviar","female",NA,"Yesterday, Esther learned about the dietary benefits of eating caviar and bought a jar at the supermaket.","Esther","eats caviar",3,"5 years",5117,"agree-key","enabling"
37,"employment","truthJudge","stole chewing gum","male",NA,"","Stephen","steals chewing gum",3,"5 years",4604,"agree-key","baseline"
37,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Yesterday, Christopher grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","Christopher","volunteers for soup kitchens",3,"5 years",6533,"disagree-key","preventative"
37,"food","truthJudge","drank beer","female",NA,"Yesterday, Monica wanted to get tipsy and bought a six-pack of beer.","Monica","drinks beer",3,"month",4379,"agree-key","enabling"
37,"hobby","truthJudge","ran","female",NA,"Yesterday, Nicole was in a car accident and became permanently paralyzed from the waist down.","Nicole","runs",3,"2 months",4437,"disagree-key","preventative"
37,"employment","truthJudge","wrote a poem","female",NA,"Yesterday, Kelly finished an MFA program and quit her other job to focus on writing poems.","Kelly","writes poems",3,"year",7323,"agree-key","enabling"
37,"hobby","truthJudge","played tennis","female",NA,"","Michelle","plays tennis",3,"year",2885,"agree-key","baseline"
37,"food","truthJudge","smoked cigarettes","male",NA,"Yesterday, Brian quit smoking cigarettes.","Brian","smokes cigarettes",3,"month",3991,"disagree-key","preventative"
37,"entertainment","truthJudge","watched professional football","male",NA,"Yesterday, Ben remembered how much enjoyable that was and upgraded his cable to have access to all professional football games.","Ben","watches professional football",3,"year",5338,"agree-key","enabling"
38,"hobby","truthJudge","played the banjo","female",NA,"Yesterday, Rebecca remembered how much fun that was and joined her friend&quotechars band as the banjoist.","Rebecca","plays the banjo",3,"year",12694,"agree-key","enabling"
38,"food","truthJudge","smoked cigarettes","female",NA,"Yesterday, Julia wanted a smoke and bought a pack of cigarettes.","Julia","smokes cigarettes",3,"month",14302,"agree-key","enabling"
38,"food","truthJudge","smoked marijuana","male",NA,"Yesterday, Scott realized he is severely allergic to marijuana and will no longer smoke it.","Scott","smokes marijuana",3,"year",6222,"disagree-key","preventative"
38,"entertainment","truthJudge","watched professional football","female",NA,"","Kim","watches professional football",3,"year",5351,"disagree-key","baseline"
38,"food","truthJudge","drank beer","male",NA,"Yesterday, Eric gave up alcohol and entered into Alcoholics Anonymous.","Eric","drinks beer",3,"month",4321,"disagree-key","preventative"
38,"employment","truthJudge","stole chewing gum","male",NA,"Yesterday, Vince got caught and vowed to never break the law again.","Vince","steals chewing gum",3,"5 years",14072,"agree-key","preventative"
